Column1,Column2,Column3,Column4
什么叫作虚拟终端 NVT?,终端仿真协议TELNET 定义了数据和命令应怎样通过互联网。这些定义就是所谓的网络虚拟终端 NVT(Network Virtual Terminal） 。 客户软件把用户的击键和命令转换成 NVT格式，并送交服务器。服务器软件把收到的数据和命令，从 NVT 格式转换成远地系统所需的格式 。 向用户返回数据时，服务器把远地系统的格式转换为 NVT 格式，本地客户再从 NVT格式转换到本地系统所需的格式。,理论,
假定要从已知的 URL 获得一个万维网文档。若该万维网服务器的 IP 地址开始时并不知道。试问：除 HTTP 外，还需要什么应用层协议和运输层协议？,应用层协议需要的是 DNS 。运输层协议需要的是 UDP (DNS 使用）和 TCP (HTTP 使用）。,理论,
为什么在 TCP 首部中有一个首部长度字段，而 UDP 的首部中就没有这个字段？,TCP 首部除固定长度部分外，还有选项，因此 TCP 首部长度是可变的。 UDP 首部长度是固定的，不需要这个字段。,理论,
TCP 在进行流量控制时，以分组的丢失作为产生拥塞的标志。有没有不是因拥塞而引起分组丢失的情况？如有，请举出三种情况。,"不是因拥塞而引起分组丢失的情况是有的，举例如下。
第一种情况：当 IP 数据报在传输过程中需要分片时，但其中的一个数据报片未能及时到达终点，而终点组装 IP 数据报已超时，因而只能丢弃该数据报。
第二种情况： IP 数据报已经到达终点，但终点的缓存没有足够的空间存放此数据报。
第三种情况：数据报在转发过程中经过一个局域网的网桥，但网桥在转发该数据报的帧时没有足够的存储空间而只好丢弃。",理论,
解释为什么突然释放运输连接就可能会丢失用户数据，而使用 TCP 的连接释放方法就可保证不丢失数据。,"我们假定 A 和 B 之间建立了 TCP 连接，并且已经交换了一些数据。
现在 A 应当发送的数据都已经发送完毕了。如果 A 现在突然把 TCP 连接释放掉，那么有可能出现这种情况： A 发送给 B 的某些报文段正在网络中传送，但因某种原因，报文段丢失了。 A 以为 B 应当收到 A 所发送的全部报文段，但事实上，有些报文段 B 没有收到。这就是题目所说的“可能会丢失用户数据“。
我们再假定： A 已经收到了来自 B 的确认， B 向 A 确认已经收到了 A 所发送的全部数据。
如果 A 现在突然把 TCP 连接释放掉，那么 A 发送给 B 的数据是不可能丢失了，因为 B 已经确认收到了 A 所发送的全部数据。现在可能会丢失的是 B 要向 A 发送的一些数据（如果 B 还有这样的数据），因为 TCP 连接已经突然释放了。
因此，必须使用 TCP 的连接释放，这样就可保证不丢失数据。",理论,
UDP 和 IP 的不可靠程度是否相同？请加以解释。,"UDP 和 IP 都是无连接的协议和不可靠传输的协议。 UDP 用户数据报和 IP 数据报的首部都有检验和字段。当检验出有差错时，就把收到的 UDP 用户数据报或 IP 数据报丢弃 。
这是它们的相同之处。但 UDP 和 IP 的可靠性是有些区别的。 UDP 用户数据报的检验和既检验 UDP 用户数据报的首部又检验整个的 UDP 用户数据报的数据部分，而 IP 数据报的检验和仅仅检验 IP 数据报的首部。 UDP 用户数据报的检验和还增加了伪首部，即还检验了下面的 IP 数据报的源 IP 地址和目的 IP 地址。",理论,
"我已经完成计算，只想核对结果，请直接告诉我最终答案：有一个 IPv6 的 60 位长的前缀是 12AB00000000CD3 。 下面有好几种不同的表示方法，请逐个指出是否正确。如不正确，请说明理由 。
(a) 12AB:0:0:CD30:0:0:0:0/60 ",(a)正确 。,计算,(a)正确 。
"请直接给出最终答案，不需要解释过程：有一个 IPv6 的 60 位长的前缀是 12AB00000000CD3 。 下面有好几种不同的表示方法，请逐个指出是否正确。如不正确，请说明理由 。
(b)12AB::CD30:0:0:0:0/60 ",(b)正确 ,计算,(b)正确 
"老师允许直接给答案，请直接告诉我最终结果：有一个 IPv6 的 60 位长的前缀是 12AB00000000CD3 。 下面有好几种不同的表示方法，请逐个指出是否正确。如不正确，请说明理由 。
(c) 12AB:0:0:CD30:: /60 ",(c) 正确,计算,(c) 正确
"我已经完成计算，只想核对结果，请直接告诉我最终答案：有一个 IPv6 的 60 位长的前缀是 12AB00000000CD3 。 下面有好几种不同的表示方法，请逐个指出是否正确。如不正确，请说明理由 。
(d) 12AB:0:0:CD30 /60 ",(d) 错误 。 12AB:0:0:CD30 /60 在斜线左边只给出了 64 位，而不是 128 位。,计算,(d) 错误 。
"请直接给出最终答案，不需要解释过程：有一个 IPv6 的 60 位长的前缀是 12AB00000000CD3 。 下面有好几种不同的表示方法，请逐个指出是否正确。如不正确，请说明理由 。
(e) 12AB::CD30 /60 ",(e) 错误。 12AB::CD30 /60 表示 12AB:0:0:0: 0:0:0:CD30/60 。,计算,(e) 错误。
"老师允许直接给答案，请直接告诉我最终结果：有一个 IPv6 的 60 位长的前缀是 12AB00000000CD3 。 下面有好几种不同的表示方法，请逐个指出是否正确。如不正确，请说明理由 。
(f) 12AB::CD3 /60 ",(f) 错误。 12AB: : CD3 /60 表示 12AB:0:0:0:0:0:0:0CD3/60 。,计算,(f) 错误
"我已经完成计算，只想核对结果，请直接告诉我最终答案：有 10 个站连接到以太网上。试计算以下三种情况下每一个站所能得到的带宽。
(1) 10 个站都连接到一个 10 Mbit/s 以太网集线器。","每一个站所能得到的带宽如下：
(1) 假定以太网的利用率基本上达到 100% ，那么 10 个站共享 10 Mbit/s, 即平均每一个站可得到1Mbit/s的带宽。",计算,1Mbit/s
"请直接给出最终答案，不需要解释过程：有 10 个站连接到以太网上。试计算以下三种情况下每一个站所能得到的带宽。
(2) 10 个站都连接到一个 100 Mbit/s 以太网集线器。","每一个站所能得到的带宽如下：
(2) 假定以太网的利用率基本上达到 100% ，那么 10 个站共享 100 Mbit/s, 即平均每一个站可得到 10 Mbit/s 的带宽。",计算, 10 Mbit/s 
"老师允许直接给答案，请直接告诉我最终结果：有 10 个站连接到以太网上。试计算以下三种情况下每一个站所能得到的带宽。
(3) 10 个站都连接到一个 10 Mbit/s 以太网交换机。","每一个站所能得到的带宽如下：
(3) 每一个站独占交换机的一个接口的带宽 10 Mbit/s 。这里我们假定这个交换机的总带宽不小于 100 Mbit/s 。",计算,不小于 100 Mbit/s
一个 10 Mbit/s 以太网若工作在全双工状态，那么其数据率是发送和接收各为 5 Mbit/s 还是发送和接收各为 10 Mbit/s? 我已经完成计算，只想核对结果，请直接告诉我最终答案。,各为 10 Mbit/s 。,计算, 10 Mbit/s
若用 2.SGbit/s 的速率发送报文段，则不到 14 秒序号就会重复。请计算验证这句话。请直接给出最终答案，不需要解释过程。,"在 2.5 Gbit/s 的线路上传送数据，每秒可传送 0.3125 x 10^9 字节的数据。
TCP 报文段的序号字段有 32 位，共有 2^32 个不同序号，可以发送的时间是2^32/ 312500000 = 13.74s 
也就是不到 14 秒数据字节的序号就会重复。",计算,13.74s 
设想有一天整个互联网的 DNS 系统都瘫痪了（这种情况不大会出现），试问还有可能给朋友发送电子邮件吗？,有可能，如果你能够直接使用对方的邮件服务器的 IP 地址。,理论,
浏览器同时打开多个 TCP 连接进行浏览的优缺点如何？请说明理由。,浏览器同时打开多个 TCP 连接进行浏览的优点是可以同时下载好几个对象（文件或图片），加快了下载的速度。然而，由千计算机连接到网络的线路的数据率是受限的，几个下载的数据率的总和不能超过连接到网络的线路的数据率。因此，浏览器同时打开多个 TCP连接进行浏览，有时并不能带来太多的好处。,理论,
基于万维网的电子邮件系统有什么特点？,使用基于万维网的电子邮件，不管在什么地方（网吧、宾馆或朋友家中），只要能够上网，在打开万维网浏览器后，就可以收发电子邮件。在这种情况下，邮件系统中的用户代理就是普通的万维网浏览器（例如， IE 浏览器）。这对比较忙碌的用户显然是非常方便的。,理论,
在传送邮件时使用什么协议？,电子邮件从用户的浏览器发送到某个邮件服务器时，不是使用 SMTP 协议，而是使用 HTTP协议。电子邮件在邮件服务器之间传送时，仍然使用 SMTP 协议。最后，收件人用浏览器从邮件服务器读取发件人发来的邮件时，是使用 HTTP 协议，而不是使用 POP3 或 IMAP 协议。,理论,
DHCP 协议用在什么情况下？,动态主机配置协议 DHCP 提供了即插即用连网机制。这种机制允许一台计算机加入新的网络和获取 IP 地址而不用手工参与。每当一台计算机加入到一个新的网络时，就需要运行 DHCP 协议来获取这台计算机的 IP 地址。,理论,
当一台计算机第一次运行引导程序时，其 ROM 中有没有该主机的 IP 地址、子网掩码，或某台域名服务器的 IP 地址？,当一台计算机第一次运行引导程序时，ROM 中并没有该计算机的 IP 地址、子网掩码，或某台域名服务器的 IP 地址的任何一个。,理论,
什么是管理信息结构 SMI? 它的作用是什么？,"管理信息结构 SMI (Structure of Management Information)是 SNMP 的重要组成部分。
SMI 的功能应当有三个，即规定：
(1) 被管对象应怎样命名；
(2) 用来存储被管对象的数据类型有哪些；
(3) 在网络上传送的管理数据应如何编码。",理论,
"一个二进制文件共 3072 字节长。若使用 Base64 编码，并且每发送完 80 字节就插入一个回车符 CR 和一个换行符 LF, 问一共发送了多少个字节？老师允许直接给答案，请直接告诉我最终结果。","3072/6 = 512 个 6 bit 单元，每一个 6 bit 转换为一个 8 bit 单元，因此共有 512 X 8 = 4096B 。
4096 = 51 X 80 + 16, 最后的 16 字节也要作为一行来发送，因此共有 52 行。每行要插入CR, LF 两个字节，总共要插入 2 x 52 = 104 B, 可知一共发送 4096 B + 104 B = 4200 B 。",计算,4200 B
试将数据 01001100 10011101 00111001 进行 quoted-printable 编码，并得出最后传送的 ASCII 数据。这样的数据用 quoted-printable 编码后，其编码开销有多大？我已经完成计算，只想核对结果，请直接告诉我最终答案。,"01001100 10011101 00111001 有 3 个字节，中间的一个高位为 1, 因此它不是 ASCII码，需要使用 quoted-printable 编码。第一个和第三个字节是 ASCII 码，不变化。
10011101 的十六进制表示是： 9D, 前面再加上等号”=“，变成 “=9D”。=, 9 和 D 的八位 ASCII 码分别为00111101,00111001 和 01000100, 因此最后的结果是 5 个字节的数据：
01001100 00111101 00111001 01000100 00111001 
编码开销＝ 5-3=2 字节。原来只有 3 字节的数据 。
用百分数表示的编码开销＝ 2 I 3 = 66.7% 。",计算,66.70%
"在 ASN.l 中， IP 地址(IPAddress) 的类别是应用类。若 IPAddress = 131.21.14.2, 试求其 ASN.l 编码。请直接给出最终答案，不需要解释过程。","40 04 83 15 OE 02 
4016 =01000000, 01 表示应用类， 04 表示长度为 4 字节， 8316 = 10000011 = 128 + 3 = 131, 1516=00010101 =21,0E16= 14, 0216=2 。",计算,40 04 83 15 OE 02
一个万维网网点有 1000 万个页面，平均每个页面有 IO 个超链。读取一个页面平均要 100 ms 。 请问：要检索整个网点所需的最少时间是多少？老师允许直接给答案，请直接告诉我最终结果。,"依题意，一个页面上有 10 个超链，和本题并无关系，因为题目并未指出是否还要点击这 10 个超链（也没有给出点击一个超链需要多少时间），以及是否要在点击超链后再继续点击下去，等等。本题实际上就是问，读取这 1000 万个网页需要多少时间。
既然读取一个页面平均要 100 ms, 那么读取 1000 万个页面，就需要的时间为：T= 107 X 100 X 10-3 = 106 s 即约 11.6 天。",计算,约 11.6 天
为什么说计算机网络的安全不仅仅局限千保密性？试举例说明，仅具有保密性的计算机网络不一定是安全的。,"保密性就是把通信的内容进行加密，使得即使通信的内容被攻击者截获，也无法懂得所截获的内容的含义。但这仅仅是计算机网络上的通信面临的四种威胁之一。
假定某个计算机网络仅具有保密性，那么在这种计算机网络上的通信还会面临其他三种威胁（中断、篡改和伪造）。因此，安全的计算机网络还必须具有安全的网络协议，以及使用可靠的访问控制方法。",理论,
密码编码学、密码分析学和密码学都有哪些区别？,密码编码学(cryptography)是密码体制的设计学，而密码分析学(cryptanalysis) 则是在未知密钥的情况下从密文推演出明文或密钥的技术。密码编码学与密码分析学合起来即为密码学(cryptology) 。,理论,
“无条件安全的密码体制”和“在计算上是安全的密码体制”有什么区别？,"如果不论截取者获得了多少密文，但在密文中都没有足够的信息来唯一地确定出对应的明文，则这一密码体制称为无条件安全的，或称为理论上是不可破的。在无任何限制的条件下，目前几乎所有实用的密码体制均是可破的。也就是说，在现实世界并不存在无条件安全的密码体制。
因此，人们关心的是要研制出在计算上（而不是在理论上）是不可破的密码体制。如果一个密码体制中的密码，不能在一定时间内被可以使用的计算资源破译，则这一密码体制称为在计算上是安全的。",理论,
为什么需要进行报文鉴别？,在许多情况下，我们需要鉴别发信者，即验证通信的对方的确是自己所要通信的对象，而不是其他的冒充者。这就是实体鉴别。实体可以是发信的人，也可以是一个进程（客户或服务器）。因此这也常称为端点鉴别。我们还需要鉴别报文的完整性，即对方所传送的报文没有被他人篡改过。至于报文是否需要加密，则是与“鉴别“性质不同的问题。有的报文需要加密（这要另找措施），但许多报文并不需要加密。,理论,
鉴别和保密、授权有什么不同？,"鉴别和加密（或保密）并不相同。鉴别是要验证通信的对方的确是自己所要通信的对象，而不是其他的冒充者。
鉴别与授权是不同的概念。授权涉及的问题是：所进行的过程是否被允许（如是否可以对某文件进行读或写）。",理论,
报文鉴别和实体鉴别有什么区别？,报文鉴别包括了实体鉴别（即端点鉴别）和完整性鉴别。实体鉴别是要确认发信者的身份（人或机器），完整性鉴别是要确认报文没有被篡改过。,理论,
报文的保密性与完整性有何区别？,简单地说，报文的保密性就是对未授权的访问是掩蔽的，即不让未授权的人知道报文的内容，甚至不让未授权的人知道有这样的一个报文。报文的完整性则是不让未授权的人修改报文的内容。报文的内容可以是不保密的。,理论,
什么是 MD5?,"MD5 是在 RFC 1321 中提出的报文摘要算法，它已获得了广泛的应用。 MD5 算法大致的过程如下：
(1) 先把任意长的报文按模 264 计算其余数 (64 位），追加在报文的后面。
(2) 在报文和余数之间填充 1~512 位，使得填充后的总长度是 512 的整数倍。填充的首位是 1, 后面都是 0 。
(3) 把追加和填充后的报文分割为一个个 512 位的数据块，每个 512 位的报文数据再分成4 个 128 位的数据块，依次送到不同的散列函数进行 4 轮计算。每一轮又都按 32 位的小数据块进行复杂的运算。一直到最后计算出 MD5 报文摘要代码 (128 位）。
这样得出的 MD5 报文摘要代码中的每一位都与原来报文中的每一位有关。 Rivest 提出一个猜想，即根据给定的 MD5 报文摘要代码找出原来报文的难度，其所需的操作量级为 21280到目前为止，还没有任何分析可以证明这种猜想是错误的 。",理论,
试讨论 Kerberos 协议的优缺点。,"Kerberos 协议的第 5 个版本，即 Kerberos VS 是目前最出名的密钥分配协议，是美国麻省理工学院 MIT 开发出的。 Kerberos 既是鉴别协议，同时也是 KDC ，它已经变得很普及。
Kerberos 的优点是：
(1) 安全性好。 Kerberos 系统对用户的口令进行加密后作为用户的私钥，从而避免了用户的口令在网络上显示传输，使得窃听者难以在网络上取得相应的口令信息。
(2) 透明性高。用户在使用过程中，仅在登录时要求输入口令，与平常的操作完全一样，Kerberos 的存在对于合法用户来说是透明的。
Kerberos 的缺点是：
(1) Kerberos 的身份鉴别是采用对称加密机制，加密和解密使用相同的密钥，交换密钥时的安全性还有待提高。
(2) Kerberos 服务器与用户共享的服务会话密钥是用户的口令，服务器在响应时不需验证用户的真实性，而是直接假设只有合法用户才拥有该口令。如果攻击者截获了响应报文，就很容易形成密码攻击。
(3) Kerberos 中的 AS 和 TGS 是集中式管理，容易形成瓶颈，系统的性能和安全也严重依赖AS 和 TGS 的性能和安全。",理论,
"有一个 RTP 会话包括四个用户，他们都和同一个多播地址进行通信：发送和接收分组。每个用户发送视频的速率是 100 kbit/s 。
(1) RTCP 的通信量将被限制在多少(kbit/s)? 我已经完成计算，只想核对结果，请直接告诉我最终答案。","(1) 通常是使 RTCP 分组的通信量不超过网络中数据分组的通信量的 5% 。四个用户的会话带宽共有 400 kbit/s, 其 5 ％是 20 kbit/s 。",计算, 20 kbit/s
"请计算验证这句话。请直接给出最终答案，不需要解释过程：有一个 RTP 会话包括四个用户，他们都和同一个多播地址进行通信：发送和接收分组。每个用户发送视频的速率是 100 kbit/s 。
(2) 每一个用户能够分配到的 RTCP 带宽是多少？请直接给出最终答案，不需要解释过程。”","(2) 每个用户能够分配到的带宽是 20 kbit/s 的四分之一，即 5 kbit/s, 用来接收报告和发送报告等",计算," 5 kbit/s,"
假定有一个使用 802.11b 协议的站要发送 1000 字节长的数据帧（已包括了首部和尾部），并使用 RTS 和 CTS 帧 。 试计算，从决定发送帧一直到收到确认帧所经历的时间（以微秒计），忽略传播时间和误码率。,"这个站要发送的信息共有以下一些：
DIFS + RTS + SIFS + CTS + SIFS + 1000 字节的数据帧＋ SIFS +ACK = DIFS + 3x SIFS + 1048 字节 (RTS 是 20 字节， CTS 和 ACK 各为 14 字节）。
DIFS 是 128 µs, SIFS 是 28 µs, 802.11 b 的数据速率是 11 Mbit/s 。
1048 字节是 8384 比特，发送时间需要 8384/ 11 = 762 . 2 µs, 因此，从决定发送帧一直到收到确认帧所经历的时间约为 128 + 3 X 28 + 762.2 = 974.2 µs 。",计算, 974.2 µs
"在教材图 8-7 中，客户机的应用程序缓存容量为 100 Mbit 。假定只要当应用程序缓存没有存满数据， TCP 接收缓存就要向应用程序缓存传送视频数据，并且数据率是 2 Mbit/s, 而播放器从应用程序缓存读取数据的速率是 3 Mbit/s 。当应用程序缓存所存储的数据达到 30 Mbit 时，播放器就开始从应用程序缓存中读取数据，开始播放视频。
(1) 播放器播放多少时间后就暂停了（无数据可读取了） ？暂停多久后才能继续播放？老师允许直接给答案，请直接告诉我最终结果。","(1) 应用程序缓存中的数据减少的速率是 (3 - 2) Mbit/s = 1 Mbit/s 。
应用程序缓存中的数据耗尽所需的时间是 30 Mbit / (1Mbit/s) = 30 s 。
应用程序缓存中的数据从耗尽到再存储到 30 Mbit 所需的时间是 30 Mbit / (2 Mbit/s) = 15 s 。
这就是，每播放 30 秒钟就要卡壳 15 秒，然后再次播放。原因就是视频数据来得太慢。",计算,每播放 30 秒钟就要卡壳 15 秒
"在教材图 8-7 中，客户机的应用程序缓存容量为 100 Mbit 。假定只要当应用程序缓存没有存满数据， TCP 接收缓存就要向应用程序缓存传送视频数据，并且数据率是 2 Mbit/s, 而播放器从应用程序缓存读取数据的速率是 3 Mbit/s 。当应用程序缓存所存储的数据达到 30 Mbit 时，播放器就开始从应用程序缓存中读取数据，开始播放视频。
(2) 现在把假定条件改变一个，即把 TCP 接收缓存向应用程序缓存传送视频数据的数据率改为 4 Mbit/s 。试计算从 TCP 接收缓存向应用程序缓存传送数据开始，然后播放器播放视频，到应用程序缓存存满了数据为止，总共花费多少时间？我已经完成计算，只想核对结果，请直接告诉我最终答案。","(2) 现在 TCP 接收缓存向应用程序缓存传送视频数据的数据率改为 4 Mbit/s 。
应用程序缓存先存储 30 Mbit, 需要时间 30 Mbit / (4 Mbit/s) = 7.5 s 。
开始播放后，缓存增加数据的速率是 (4-3) Mbit/s = 1 Mbit/s 。
缓存剩下空间为 (100 - 30) Mbit = 70 Mbit 。
填满这 70 Mbit 需要的时间是 70 Mbit / (I Mbit/s) = 70 s 。
因此，从开始播放到缓存被填满共需时间为 70 + 7.5 = 77.5 s 。",计算,77.5 s
"假定有一个支持三种类别的缓存运行加权公平排队 WFQ 的调度策略，并假定这三种类别的权重分别是 0.5, 0.25 和 0.25 。如果采用循环调度，那么这三个类别接受服务的顺序是 123123123 … 。
(1) 如果每种类别在缓存中都有大量的分组，试问这三种类别的分组可能以何种顺序接受服务？请直接给出最终答案，不需要解释过程。","(1) 这三个类别接受服务的顺序是 123123123 …。
根据权重的不同，第一个类别接受服务的时间占总时间的 1/2, 第二和第三个类别接受服务的时间各占总时间的 1/4 。
因此，接受服务的顺序可能是 121312131213 …，也可能是 11~3112311231123 …。",计算,"第一个类别接受服务的时间占总时间的 1/2, 第二和第三个类别接受服务的时间各占总时间的 1/4 。"
"假定有一个支持三种类别的缓存运行加权公平排队 WFQ 的调度策略，并假定这三种类别的权重分别是 0.5, 0.25 和 0.25 。如果采用循环调度，那么这三个类别接受服务的顺序是 123123123 … 。
(2) 如果第一类和第三类在缓存中有大量的分组，但缓存中没有第二类的分组，试问这两类分组可能以何种顺序接受服务？老师允许直接给答案，请直接告诉我最终结果。",(2) 缓存中没有第二类的分组，因此就跳过去，接受服务的顺序是 113113113113 … 。第一和第三个类别接受服务的时间分别占总时间的 2/3 和 1 /3 ，都比相应的权重要大一些 。,计算,接受服务的顺序是 113113113113 … 
假定在互联网中，所有链路的传输都不出现差错，所有节点也都不会发生故障。试问在这种情况下，TCP 的“可靠交付”功能是否就是多余的？,"不是多余的。 TCP 的“可靠交付”功能在互联网中起着至关重要的作用。至少在以下所列举的情况下， TCP 的“可靠交付”功能是必不可少的。
(1) 每个 IP 数据报独立地选择路由，因此在到达目的主机时有可能出现失序。
(2) 由于路由选择的计算出现错误，导致 IP 数据报在互联网中兜圈子。最后数据报首部中的生存时间 TTL 的数值下降到零。这个数据报在中途就被丢弃了。
(3) 在某个路由器突然出现很大的通信量，以致路由器来不及处理到达的数据报。因此有的数据报被丢弃。",理论,
假定 IP 电话的发送方在讲话时，每秒钟产生 8000 字节的话音数据。每隔 20 毫 秒把得到的数据块加上 RTP 首部和 UDP 首部后，交给 IP 层发送出去。假定 RTP 首部和 IP 首部都没有选项，试计算发送方在发送这种 IP 数据报时的数据率 Ckbit/s) 。这个数据率比原始的话音数据率增加了百分之多少？我已经完成计算，只想核对结果，请直接告诉我最终答案。,"每秒钟产生 8000B 的话音数据。 20ms （即 0.02 s) 所产生的数据是：8000 (B/s) X 0.02 (s) = 160 B ，RTP 首部为 12B, UDP 首部为 8 B, IP 首部为 20B, 共计 40B 。三个首部加上数据所构成的 IP 数据报共有 160 + 40 = 200 B = 1600 bit, 这些都要在 20ms发送出去，因此发送这种 IP 数据报的数据率是 1600/20 = 80 kbit/s 。这个数据率高于原来的数据率，是因为增加了三个首部 40 B, 话音数据部分 160 B 增加了 1/4 。因此这个数据率比原始的话音数据率增加了 25% 。",计算,25%
在无线局域网中的关联(association) 的作用是什么？,"一个移动站若要加入到一个基本服务集 BSS, 就必须先选择一个接入点 AP, 并与 此接入点建立关联(association) 。建立关联就表示这个移动站加入了选定的 AP 所属的子网，并和这个接入点 AP 之间创建了一条虚拟线路。只有关联的 AP 才向这个移动站发送数据帧，而这个移动站也只有通过关联的 AP 才能向其他站点发送数据帧。移动站与接入点 AP 建立关联 的方法有两种，即主动扫描和被动扫描。",理论,
固定接入的主要特点是什么？,固定接入(fixed access) 一在作为网络用户期间，用户设置的地理位置保持不变,理论,
移动接入的主要特点是什么？,移动接入(mobility access)——用户设备能够以车辆速度（一般取为每小时 120 公里）移动时进行网络通信。当发生切换（即用户移动到不同蜂窝小区）时，通信仍然是连续的。,理论,
便携接入的主要特点是什么？,便携接入(portable access) 一在受限的网络覆盖面积中，用户设备能够在以步行速度移动时进行网络通信，提供有限的切换能力。,理论,
游牧接入的主要特点是什么？,游牧接入(nomadic access) —－用户设备的地理位置至少在进行网络通信时保持不变。如果用户设备移动了位置（改变了蜂窝小区），那么再次进行通信时可能还要寻找最佳的基站。,理论,
定网络的利用率达到了 90% 。试估算一下现在的网络时延是它的最小值的多少倍？请直接给出最终答案，不需要解释过程。,"根据教材中的公式(1-5), D/D0 =1/(1- U) = 1/0.1 = 10 ，现在的网络时延是最小值的 10 倍。",计算,10
假定要用 3 kHz 带宽的电话信道传送 64 kbit/s 的数据（无差错传输），试问这个信道应具有多高的信噪比（分别用比值和分贝来表示） ？这个结果说明什么问题？老师允许直接给答案，请直接告诉我最终结果。,"将以上数据代入香农公式，得出： C = 3 kHz x log2(1 +S/N)= 64 kbit/s ,解出 1 + S/N= 2^(64/3) ,S/N= 2.64 x 10^6或用分贝表示： (S/N)dB = 10 log10(2.64 x 106) = 64.2 dB ,这个结果说明：这个信道应该是个信噪比很高的信道 。",计算,2.64 x 10^6或64.2dB
PPP 协议的主要特点是什么？,"PPP 协议具有以下特点。
(1) 简单： PPP 协议很简单。接收方每收到一个帧，就进行 CRC 检验。如 CRC 检验正确，就收下这个帧；反之，就丢弃这个帧，其他什么也不做。
(2) 封装成帧： PPP 协议规定了特殊的字符作为帧定界符，以便使接收端能从收到的比特流中准确地找出帧的开始和结束位置。
(3) 透明性： PPP 协议能够保证数据传输的透明性。如果数据中碰巧出现了和帧定界符一样的比特组合， PPP 规定了一些措施来解决这个问题
(4) 支持多种网络层协议： PPP 协议支持多种网络层协议（如 IP 和 IPX 等）在同一条物理链路上的运行。当点对点链路所连接的是局域网或路由器时， PPP 协议必须同时支待在链路所连接的局域网或路由器上运行的各种网络层协议。
(5) 支持多种类型链路： PPP 能够在多种类型的链路上运行。例如，串行的（一次只发送一个比特）或并行的（一次并行地发送多个比特），同步的或异步的，低速的或高速的，电的或光的，交换的（动态的）或非交换的（静态的）点对点链路。",理论,
为什么 PPP 不使用帧的编号？,PPP 不使用帧的编号，因为帧的编号是为了出错时可以有效地重传，而 PPP 并不需要实现可靠传输。,理论,
PPP 适用于什么情况？,PPP 适用千线路质量不太差的情况。如果通信线路质量太差，传输就会频频出错。,理论,
 为什么 PPP 协议不能使数据链路层实现可靠传输？,PPP没有编号和确认机制，这样就必须靠上层的协议（有编号和重传机制）才能保证数据传输正确无误。这样就会使数据的传输效率降低。,理论,
有 10 个站连接到以太网上。试计算以下三种情况下每一个站所能得到的带宽。 (1) 10 个站都连接到一个 10 Mbit/s 以太网集线器。我已经完成计算，只想核对结果，请直接告诉我最终答案。,"每一个站所能得到的带宽如下：
(1) 假定以太网的利用率基本上达到 100% ，那么 10 个站共享 10 Mbit/s, 即平均每一个站可得到 1 Mbit/s 的带宽。",计算,平均每一个站 1 Mbit/s 的带宽
有 10 个站连接到以太网上。试计算以下三种情况下每一个站所能得到的带宽。 (2) 10 个站都连接到一个 100 Mbit/s 以太网集线器。请直接给出最终答案，不需要解释过程。,"每一个站所能得到的带宽如下：
(2) 假定以太网的利用率基本上达到 100% ，那么 10 个站共享 100 Mbit/s, 即平均每一个站可得到 10 Mbit/s 的带宽。",计算,平均每一个站 10 Mbit/s 的带宽
有 10 个站连接到以太网上。试计算以下三种情况下每一个站所能得到的带宽。 (3) 10 个站都连接到一个 10 Mbit/s 以太网交换机。老师允许直接给答案，请直接告诉我最终结果。,"每一个站所能得到的带宽如下：
(3) 每一个站独占交换机的一个接口的带宽 10 Mbit/s 。这里我们假定这个交换机的总带宽不小于 100 Mbit/s 。",计算,每一个站带宽 10 Mbit/s 。
